County,Varietal,Year,Bearing,Non-Bearing,Total,Tons,$/Ton,Total Value
Sonoma,Cabernet Franc,2021,552.0,33.0,585.0,"1,150.4","$3,866.85","$4,448,400"
Sonoma,Cabernet Franc,2020,557.0,29.0,586.0,942.4,"$3,534.95","$3,331,300"
Sonoma,Cabernet Sauvignon,2021,"12,293.0",429.0,"12,722.0","41,114.6","$2,728.69","$112,189,000"
Sonoma,Cabernet Sauvignon,2020,"12,089.0",631.0,"12,720.0","31,137.9","$2,460.15","$76,603,900"
Sonoma,Carignane,2021,156.0,2.0,158.0,280.7,"$2,633.52","$739,200"
Sonoma,Carignane,2020,158.0,6.0,164.0,257.9,"$2,447.30","$631,200"
Sonoma,Grenache,2021,211.0,55.0,266.0,898.4,"$3,101.70","$2,786,600"
Sonoma,Grenache,2020,203.0,58.0,261.0,751.7,"$2,509.56","$1,886,400"
Sonoma,Malbec,2021,422.0,26.0,448.0,"1,577.2","$3,081.97","$4,860,900"
Sonoma,Malbec,2020,414.0,16.0,430.0,"1,004.8","$2,643.18","$2,655,900"
Sonoma,Mataro/Mouvedere,2021,71.0,11.0,82.0,179.1,"$3,176.28","$568,900"
Sonoma,Mataro/Mouvedere,2020,65.0,8.0,73.0,108.3,"$2,874.98","$311,400"
Sonoma,Merlot,2021,"4,140.0",17.0,"4,157.0","7,828.5","$1,961.32","$15,354,200"
Sonoma,Merlot,2020,"4,175.0",17.0,"4,192.0","5,652.8","$1,589.61","$8,985,700"
Sonoma,Petite Sirah,2021,651.0,26.0,677.0,"2,163.9","$2,996.48","$6,484,100"
Sonoma,Petite Sirah,2020,641.0,42.0,683.0,"1,622.1","$2,706.91","$4,390,900"
Sonoma,Petit Verdot,2021,242.0,6.0,248.0,983.1,"$3,536.74","$3,477,000"
Sonoma,Petit Verdot,2020,244.0,7.0,251.0,494.6,"$3,184.33","$1,575,000"
Sonoma,Pinot Noir,2021,"12,608.0",265.0,"12,873.0","48,496.5","$3,512.27","$170,332,800"
Sonoma,Pinot Noir,2020,"12,516.0",497.0,"13,013.0","29,263.7","$3,146.85","$92,088,500"
Sonoma,Sangiovese,2021,278.0,4.0,282.0,879.7,"$2,493.41","$2,193,500"
Sonoma,Sangiovese,2020,279.0,4.0,283.0,398.9,"$2,364.77","$943,300"
Sonoma,Syrah-Shiraz,2021,"1,326.0",34.0,"1,360.0","2,450.6","$2,871.85","$7,037,800"
Sonoma,Syrah-Shiraz,2020,"1,352.0",29.0,"1,381.0","1,581.5","$2,472.14","$3,909,700"
Sonoma,Zinfandel,2021,"4,613.0",116.0,"4,729.0","11,660.0","$3,113.73","$36,306,100"
Sonoma,Zinfandel,2020,"4,654.0",105.0,"4,759.0","8,397.0","$2,624.37","$22,036,800"
Sonoma,TOTAL ALL REDS,2021,"38,128.0","1,056.0","39,184.0","121,693.0","$3,060.13","$372,396,400"
Sonoma,TOTAL ALL REDS,2020,"37,916.0","1,493.0","39,409.0","82,910.2","$2,651.92","$219,871,200"
