County,Varietal,Grape Color,Year,Bearing,Non-Bearing,Total,Tons, $/Ton , Total Value 
Sonoma,Cabernet Franc,Red,2000,523,151,674,"2,097.00","2,226.53","$4,668,600.00 "
Sonoma,Cabernet Sauvigno,Red,2000,"7,328.00","3,688.00","11,016.00","32,772.00","2,417.96","$79,240,400.00 "
Sonoma,Cabernet Sauvignon,Red,2000,"7,328.00","3,688.00","11,016.00","32,772.00","2,418.00","$79,240,400.00 "
Sonoma,Carignane,Red,2000,196,1,197,766,"1,391.55","$1,065,400.00 "
Sonoma,Merlot,Red,2000,"6,564.00","1,058.00","7,622.00","31,480.00","2,019.29","$63,566,200.00 "
Sonoma,Meunier,Red,2000,129,17,146,637,"2,069.27","$1,318,700.00 "
Sonoma,Napa Gamay,Red,2000,84,0,84,195,"1,143.58","$222,500.00 "
Sonoma,Petite Sirah,Red,2000,280,86,366,"1,073.00","2,127.81","$2,284,000.00 "
Sonoma,Petite Verdot,Red,2000,86,77,163,282,"2,176.29","$614,000.00 "
Sonoma,Pinot Noir,Red,2000,"4,973.00","3,631.00","8,604.00","17,520.00","2,094.39","$36,692,700.00 "
Sonoma,Sangiovese,Red,2000,281,68,349,"1,791.00","1,859.57","$3,331,000.00 "
Sonoma,Syrah-Shiraz,Red,2000,559,371,930,"3,349.00","2,171.65","$7,272,000.00 "
Sonoma,Zinfandel,Red,2000,"4,478.00",665,"5,143.00","13,223.00","2,143.10","$28,337,800.00 "
Sonoma,TOTAL ALL REDS Including Other Reds,Red,2000,"26,391.00","10,451.00","36,842.00","108,871.00","4,224.80","$237,942,200.00 "
Sonoma,Cabernet Franc,Red,2001,503,137,640,"2,309.00","2,424.10","$5,597,300.00 "
Sonoma,Cabernet Sauvigno,Red,2001,"7,937.00","4,018.00","11,955.00","32,194.00","2,698.66","$86,881,500.00 "
Sonoma,Carignane,Red,2001,182,2,184,587,"1,529.01","$896,800.00 "
Sonoma,Merlot,Red,2001,"6,414.00",962,"7,376.00","27,879.00","2,136.86","$59,573,800.00 "
Sonoma,Meunier,Red,2001,111,3,114,566,"1,983.57","$1,122,200.00 "
Sonoma,Napa Gamay,Red,2001,91,0,91,149,"1,289.12","$192,600.00 "
Sonoma,Petite Sirah,Red,2001,293,90,383,"1,007.00","2,379.44","$2,395,900.00 "
Sonoma,Petite Verdot,Red,2001,78,92,171,308,"2,408.91","$743,000.00 "
Sonoma,Pinot Noir,Red,2001,"5,811.00","4,554.00","10,365.00","20,861.00","2,219.03","$46,290,600.00 "
Sonoma,Sangiovese,Red,2001,366,70,436,"1,376.00","2,020.35","$2,779,600.00 "
Sonoma,Syrah-Shiraz,Red,2001,824,856,"1,680.00","4,195.00","2,260.98","$9,483,700.00 "
Sonoma,Zinfandel,Red,2001,"4,145.00",885,"5,030.00","14,287.00","2,456.58","$35,096,500.00 "
Sonoma,TOTAL ALL REDS Including Other Reds,Red,2001,"27,802.00","12,028.00","39,830.00","109,707.00","4,329.94","$258,883,100.00 "
Sonoma,Cabernet Franc,Red,2002,560,118,678,"1,927.50","2,532.25","$4,881,000.00 "
Sonoma,Cabernet Sauvigno,Red,2002,"9,018.00","3,125.00","12,143.00","32,258.10","2,694.93","$86,933,400.00 "
Sonoma,Carignane,Red,2002,188,3,191,498.7,"1,562.64","$779,300.00 "
Sonoma,Merlot,Red,2002,"6,698.00",712,"7,410.00","29,037.30","1,965.47","$57,072,000.00 "
Sonoma,Meunier,Red,2002,109,3,112,426.5,"2,164.26","$923,100.00 "
Sonoma,Napa Gamay,Red,2002,49,0,49,93.9,"1,089.40","$102,300.00 "
Sonoma,Petite Sirah,Red,2002,313,83,397,"1,083.60","2,534.18","$2,746,100.00 "
Sonoma,Petite Verdot,Red,2002,87,86,174,308.8,"2,560.45","$790,700.00 "
Sonoma,Pinot Noir,Red,2002,"6,434.00","3,821.00","10,255.00","19,571.00","2,131.66","$41,718,800.00 "
Sonoma,Sangiovese,Red,2002,386,66,453,"1,791.90","2,048.31","$3,670,400.00 "
Sonoma,Syrah-Shiraz,Red,2002,"1,040.00",717,"1,758.00","5,424.40","2,254.26","$12,228,100.00 "
Sonoma,Zinfandel,Red,2002,"4,300.00",828,"5,128.00","13,384.60","2,494.52","$33,388,200.00 "
Sonoma,TOTAL ALL REDS Including Other Reds,Red,2002,"30,485.00","11,227.00","41,713.00","109,828.90","4,756.86","$255,036,000.00 "
Sonoma,Cabernet Franc,Red,2003,612,75,687,"1,813.20","2,580.74","$4,679,400.00 "
Sonoma,Cabernet Sauvigno,Red,2003,"10,554.00","1,682.00","12,236.00","36,471.40","2,537.94","$92,562,300.00 "
Sonoma,Carignane,Red,2003,183,3.1,186.1,397.5,"1,718.81","$683,300.00 "
Sonoma,Malbec,Red,2003,244.9,67,311.9,146.7,"2,503.24","$367,300.00 "
Sonoma,Merlot,Red,2003,"7,027.00",402,"7,429.00","20,917.50","1,768.89","$37,000,800.00 "
Sonoma,Meunier,Red,2003,109,13,122,572.6,"2,060.14","$1,179,700.00 "
Sonoma,Napa Gamay,Red,2003,42,0,42,51.6,"1,060.86","$54,800.00 "
Sonoma,Petite Sirah,Red,2003,357,55,412,"1,194.30","2,503.94","$2,990,500.00 "
Sonoma,Petite Verdot,Red,2003,144,31,175,400.1,"2,676.19","$1,070,800.00 "
Sonoma,Pinot Noir,Red,2003,"8,328.00","1,784.00","10,112.00","18,759.10","2,011.54","$37,734,700.00 "
Sonoma,Sangiovese,Red,2003,407,33,440,"1,374.20","2,040.91","$2,804,700.00 "
Sonoma,Syrah-Shiraz,Red,2003,"1,359.00",433,"1,792.00","5,666.20","2,060.09","$11,672,900.00 "
Sonoma,Zinfandel,Red,2003,"4,504.00",607,"5,111.00","11,561.30","2,334.96","$26,995,200.00 "
Sonoma,TOTAL ALL REDS Including Other Reds,Red,2003,"35,259.00","6,554.00","41,815.00","102,548.80","4,363.74","$226,369,400.00 "
Sonoma,Cabernet Franc,Red,2004,603.1,87.2,690.2,"1,692.10","2,498.88","$4,228,400.00 "
Sonoma,Cabernet Sauvigno,Red,2004,"10,216.00","1,910.20","12,126.20","30,561.30","2,397.71","$73,277,200.00 "
Sonoma,Carignane,Red,2004,185.7,9.1,194.8,418.9,"1,477.99","$619,200.00 "
Sonoma,Malbec,Red,2004,206.5,67,273.5,430.5,"2,419.96","$1,041,800.00 "
Sonoma,Merlot,Red,2004,"6,873.00",518.4,"7,391.40","22,855.20","1,663.90","$38,028,800.00 "
Sonoma,Meunier,Red,2004,109,14,123,471.3,"1,951.39","$919,700.00 "
